index,event_time,value,valueThreshold,isActive
0.0,1487441883.0,231,230,True
1.0,1487442194.0,231,230,True
2.0,1487442922.0,231,230,True
3.0,1487442929.0,231,230,True
4.0,1487442933.0,231,230,True
5.0,1487442942.0,231,230,True
6.0,1487443401.0,231,230,True
7.0,1487443421.0,231,230,True
8.0,1487443422.0,231,230,True
9.0,1487443525.0,231,230,True
10.0,1487443537.0,231,230,True
11.0,1487443542.0,231,230,True
12.0,1487443546.0,231,230,True
13.0,1487444009.0,231,230,True
14.0,1487444013.0,231,230,True
15.0,1487444031.0,231,230,True
16.0,1487444033.0,231,230,True
17.0,1487444039.0,231,230,True
18.0,1487444040.0,231,230,True
19.0,1487444042.0,231,230,True
20.0,1487444063.0,231,230,True
21.0,1487444065.0,231,230,True
22.0,1487444093.0,231,230,True
23.0,1487444104.0,231,230,True
24.0,1487444105.0,231,230,True
25.0,1487444129.0,231,230,True
26.0,1487444368.0,231,230,True
27.0,1487444751.0,231,230,True
28.0,1487444913.0,231,230,True
29.0,1487444915.0,231,230,True
30.0,1487444986.0,231,230,True
31.0,1487445008.0,231,230,True
32.0,1487445066.0,231,230,True
33.0,1487445218.0,231,230,True
34.0,1487445537.0,231,230,True
35.0,1487445546.0,231,230,True
36.0,1487445566.0,231,230,True
37.0,1487445575.0,231,230,True
38.0,1487445649.0,231,230,True
39.0,1487445851.0,231,230,True
40.0,1487445976.0,231,230,True
41.0,1487446125.0,231,230,True
42.0,1487446138.0,231,230,True
43.0,1487446155.0,231,230,True
44.0,1487446157.0,231,230,True
45.0,1487446219.0,231,230,True
46.0,1487446223.0,231,230,True
47.0,1487446384.0,231,230,True
48.0,1487446424.0,231,230,True
49.0,1487446504.0,231,230,True
50.0,1487446725.0,231,230,True
51.0,1487447338.0,231,230,True
52.0,1487447349.0,231,230,True
53.0,1487448914.0,231,230,True
54.0,1487448934.0,231,230,True
55.0,1487448954.0,231,230,True
56.0,1487448959.0,231,230,True
57.0,1487448964.0,231,230,True
58.0,1487448971.0,231,230,True
59.0,1487448976.0,231,230,True
60.0,1487448981.0,231,230,True
61.0,1487448982.0,231,230,True
62.0,1487448996.0,231,230,True
63.0,1487449433.0,231,230,True
64.0,1487449525.0,231,230,True
65.0,1487449542.0,231,230,True
66.0,1487449683.0,231,230,True
67.0,1487449706.0,231,230,True
68.0,1487449710.0,231,230,True
69.0,1487449715.0,231,230,True
70.0,1487449736.0,231,230,True
71.0,1487449822.0,231,230,True
72.0,1487449880.0,231,230,True
73.0,1487450035.0,231,230,True
74.0,1487450928.0,231,230,True
75.0,1487451224.0,231,230,True
76.0,1487451961.0,231,230,True
77.0,1487452107.0,231,230,True
78.0,1487452143.0,231,230,True
79.0,1487452146.0,231,230,True
80.0,1487452431.0,231,230,True
81.0,1487452439.0,231,230,True
82.0,1487452442.0,231,230,True
83.0,1487452471.0,231,230,True
84.0,1487452481.0,231,230,True
85.0,1487452485.0,231,230,True
86.0,1487452489.0,231,230,True
87.0,1487452493.0,231,230,True
88.0,1487452846.0,231,230,True
89.0,1487453007.0,231,230,True
90.0,1487453010.0,231,230,True
91.0,1487453069.0,231,230,True
92.0,1487453071.0,231,230,True
93.0,1487453076.0,231,230,True
94.0,1487453092.0,231,230,True
95.0,1487453277.0,231,230,True
96.0,1487454470.0,231,230,True
97.0,1487454481.0,231,230,True
98.0,1487454524.0,231,230,True
99.0,1487454526.0,231,230,True
100.0,1487454531.0,231,230,True
101.0,1487454600.0,231,230,True
102.0,1487454896.0,231,230,True
103.0,1487454914.0,231,230,True
104.0,1487455036.0,231,230,True
105.0,1487455044.0,231,230,True
106.0,1487455066.0,231,230,True
107.0,1487455078.0,231,230,True
108.0,1487455120.0,231,230,True
109.0,1487455363.0,231,230,True
110.0,1487455364.0,231,230,True
111.0,1487455416.0,231,230,True
112.0,1487457167.0,231,230,True
113.0,1487457216.0,231,230,True
114.0,1487457245.0,231,230,True
115.0,1487457957.0,231,230,True
116.0,1487457996.0,231,230,True
117.0,1487458047.0,231,230,True
118.0,1487458049.0,231,230,True
119.0,1487458071.0,231,230,True
120.0,1487458082.0,231,230,True
121.0,1487458237.0,231,230,True
122.0,1487458270.0,231,230,True
123.0,1487458282.0,231,230,True
124.0,1487458298.0,231,230,True
125.0,1487458381.0,231,230,True
126.0,1487458505.0,231,230,True
127.0,1487458789.0,231,230,True
128.0,1487459070.0,231,230,True
129.0,1487459119.0,231,230,True
130.0,1487459183.0,231,230,True
131.0,1487460481.0,231,230,True
132.0,1487460491.0,231,230,True
133.0,1487460526.0,231,230,True
134.0,1487461603.0,231,230,True
135.0,1487461614.0,231,230,True
136.0,1487461722.0,231,230,True
137.0,1487461774.0,231,230,True
138.0,1487461878.0,231,230,True
139.0,1487461902.0,231,230,True
140.0,1487461907.0,231,230,True
141.0,1487461931.0,231,230,True
142.0,1487461956.0,231,230,True
143.0,1487461958.0,231,230,True
144.0,1487461963.0,231,230,True
145.0,1487461970.0,231,230,True
146.0,1487462188.0,231,230,True
147.0,1487462205.0,231,230,True
148.0,1487462214.0,231,230,True
149.0,1487462222.0,231,230,True
150.0,1487462440.0,231,230,True
151.0,1487462459.0,231,230,True
152.0,1487462772.0,231,230,True
153.0,1487462792.0,231,230,True
154.0,1487462803.0,231,230,True
155.0,1487462809.0,231,230,True
156.0,1487462814.0,231,230,True
157.0,1487462823.0,231,230,True
158.0,1487462827.0,231,230,True
159.0,1487463119.0,231,230,True
160.0,1487463124.0,231,230,True
161.0,1487463146.0,231,230,True
162.0,1487463154.0,231,230,True
163.0,1487463624.0,231,230,True
164.0,1487464454.0,231,230,True
165.0,1487464507.0,231,230,True
166.0,1487464509.0,231,230,True
167.0,1487464660.0,231,230,True
168.0,1487464674.0,231,230,True
169.0,1487464684.0,231,230,True
170.0,1487465779.0,231,230,True
171.0,1487465807.0,231,230,True
172.0,1487466194.0,231,230,True
173.0,1487466299.0,231,230,True
174.0,1487466319.0,231,230,True
175.0,1487466604.0,231,230,True
176.0,1487466616.0,231,230,True
177.0,1487466810.0,231,230,True
178.0,1487466833.0,231,230,True
179.0,1487466851.0,231,230,True
180.0,1487466878.0,231,230,True
181.0,1487467161.0,231,230,True
182.0,1487467236.0,231,230,True
183.0,1487467261.0,231,230,True
